placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
AVIA,HVO_TANKSTELLE,50.564748,8.477783,,"https://www.google.com/maps/search/?api=1&query=50.5647475,8.4777827"
AVIA,HVO_TANKSTELLE,50.540460,9.699883,,"https://www.google.com/maps/search/?api=1&query=50.5404601,9.6998828"
AVIA,HVO_TANKSTELLE,49.003059,12.123243,,"https://www.google.com/maps/search/?api=1&query=49.0030592,12.1232429"
AVIA,HVO_TANKSTELLE,48.944670,9.139199,,"https://www.google.com/maps/search/?api=1&query=48.9446695,9.139199"
AVIA,HVO_TANKSTELLE,48.754980,10.328236,,"https://www.google.com/maps/search/?api=1&query=48.7549796,10.328236"
AVIA,HVO_TANKSTELLE,53.093386,8.079697,,"https://www.google.com/maps/search/?api=1&query=53.0933863,8.0796972"
AVIA,HVO_TANKSTELLE,51.417775,5.562062,,"https://www.google.com/maps/search/?api=1&query=51.4177754,5.5620615"
AVIA,HVO_TANKSTELLE,51.479248,5.550296,,"https://www.google.com/maps/search/?api=1&query=51.4792484,5.5502963"
AVIA,HVO_TANKSTELLE,51.625261,5.507497,,"https://www.google.com/maps/search/?api=1&query=51.6252609,5.507497"
AVIA,HVO_TANKSTELLE,51.175943,5.837371,,"https://www.google.com/maps/search/?api=1&query=51.175943,5.8373709"
AVIA,HVO_TANKSTELLE,51.138387,5.895360,,"https://www.google.com/maps/search/?api=1&query=51.1383867,5.89536"
AVIA,HVO_TANKSTELLE,51.025135,5.854804,,"https://www.google.com/maps/search/?api=1&query=51.0251348,5.854804"
AVIA,HVO_TANKSTELLE,50.990982,5.869236,,"https://www.google.com/maps/search/?api=1&query=50.9909823,5.8692357"
AVIA,HVO_TANKSTELLE,51.538335,6.084658,,"https://www.google.com/maps/search/?api=1&query=51.5383351,6.0846576"
AVIA,HVO_TANKSTELLE,51.578868,5.768899,,"https://www.google.com/maps/search/?api=1&query=51.5788678,5.7688986"
AVIA,HVO_TANKSTELLE,51.817860,5.841553,,"https://www.google.com/maps/search/?api=1&query=51.81786,5.8415527"
AVIA,HVO_TANKSTELLE,53.096447,6.135099,,"https://www.google.com/maps/search/?api=1&query=53.0964471,6.1350989"
